expressions,count_values
renewable energy,121
agriculture,110
water management,70
forestry,62
transportation,61
energy efficiency,56
waste management,44
health,43
construction and building,35
tourism,31
no,18
fisheries,15
fossil fuels,15
fishery,15
waste management and recycling,12
manufacturing,10
industrial processes,8
mining,7
energy,6
transport,5
education,4
building and construction,4
none,3
biomass,3
hydrogen,3
biogas,3
folu,2
fossil fuel,2
fisheries and aquaculture,2
alternative fuels,2
carbon capture,2
r&d,2
human health,2
waste,1
power,1
nuclear energy,1
sustainable transport,1
water resources,1
finance,1
energy eficiency,1
digitalization,1
watse management,1
clean cooking,1
logistics,1
ict,1
water,1
clinker production,1
energy efficienecy,1
information and communication,1
biofuels,1
tarnsportation,1
tranportation,1
livestock,1
public health,1
chemicals and materials,1
coastal and marine resources and fisheries,1
human settlement,1
finance and insurance,1
human settlements and infrastructure,1
breeding,1
coastal restoration,1
civil service,1
coastal management,1
waste management and recycllng,1
heatlh,1
