expressions,count_values
none,73
no,43
agriculture,35
renewable energy,19
health,18
drr,10
water management,10
waste management,8
education,7
forestry,6
energy,5
tourism,4
transportation,4
fishery,4
ict,3
finance,3
gender,3
energy efficiency,3
livestock,3
construction and building,3
waste management and recycling,3
meteorology,2
planning,2
cfcs,2
recycling industry,2
digital tools allowing energy and resources savings,2
transport,2
goverment,1
data management,1
fishing,1
green construction,1
environmental services and conservation,1
fossil fuels,1
carbon markets,1
hardware and software,1
infrastructure,1
journalism,1
building and construction,1
nurses,1
clean cooking,1
plumbing,1
water treatment,1
digital,1
data,1
ai,1
climate action for youth,1
low carbon heating,1
hydrogen,1
retrofitting,1
solar and electrical vehicles,1
ghg reduction,1
cfc gases,1
ecology,1
research,1
information and communication,1
biodiversity,1
coastal zones,1
r&d,1
water,1
climate modeling,1
fisheries,1
communication,1
social cohesion,1
fishery and agriculture,1
maritime,1
repair and maintenance of appliances and bicycles,1
food processing and preservation,1
supply of local products to ocessing and preservation,1
supply of local products to\nhotels,1
cultural services,1
ural services,1
language proficiencies,1
civil service,1
heatlh,1
coastal management,1
